polarity_human,fetch_time,title,content
-1,2012-02-11,【美國股市】早盤：美股大幅走低，道指跌逾120點,"財華社香港新聞中心希臘當局雖就緊縮協議達成一致,但國際借款方仍推遲放款,且希臘國內存在巨大的反對聲音,能否獲得第二輪援助存在的巨大不確定性令投資者擔憂情緒再度升溫,美股週五早盤大幅走低,美國12月貿易赤字高於預期.截止北京時間23：45,道指下跌124.65點,跌幅0.97%,報12,765.81點；標普500下跌11.62點,跌幅0.86%,報1,340.33點；納指下跌23.46點,跌幅0.80%,報2,903.77點.  經濟數據面,美國商務部週五公佈,12月美國的貿易赤字為488億美元.據彭博社調查,經濟學家對此的平均預期為478億美元.11月的貿易赤字為478億美元.  密歇根大學和路透社聯合公佈,2月美國消費者信心指數的初值為72.5點.據彭博社的調查,經濟學家對此的平均預期為74.3點.1月消費者信心指數的終值為75.0點.    美聯儲主席本-伯南克將在中午12:30發表有關美國房地產市場狀況的講話.  投資者將目光集中於希臘債情上.希臘當局雖就緊縮協定達成一致,但國際借款方仍推遲放款,而希臘國內亦出現了巨大的反對聲音,這一切都使希臘能否獲得第二輪援助存在巨大的不確定性.而一旦無法及時獲得金援,希臘3月將面臨無序違約風險.  歐元區各國財長表示,希臘必須達到三個條件,才能獲得新的緊急救助資金；一是希臘議會在12日通過新的財政緊縮措施案；二是希臘2012年需要額外削減結構性支出3.25億歐元；三是希臘政治領袖需要給出堅決的政治承諾,保證未來將實行財政緊縮措施.  歐盟委員會負責經濟與貨幣事務的委員雷恩亦表示,希臘政府仍需採取實際行動,通過“明確的承諾和切實的措施”才能獲得新一輪救助.  德國一議員週五表示,德國聯邦議院將對希臘第二輪救助方案進行一次性集中表決.  而據希臘媒體報導,希臘政府中的極右翼黨派人民黨部長已向總理請辭,該党領導人早前表示不會投票支持1,300億歐元的救助協定.而希臘的主要工會呼籲從週五開始舉行48小時罷工,希臘警方則威脅逮捕“三駕馬車”官員.  分析認為,在希臘迷霧未消散之前,市場或都繼續保持謹慎的態度.亞洲主要股市週五多數下滑,而歐洲主要股市及國際商品市場盤中亦大幅走低.更多精彩內容,請登陸財華中國網 (http://www.caihuanet.com) 或財華香港網 (http://www.finet.hk)"
-1,2012-02-11,華爾街股市下跌 (經濟)  ,"由於有關希臘債務問題的協議再生變數,紐約股市三大指數承壓嚴重,道指收市跌近百分之七,為今年以來最差表現.華爾街股市下跌,希臘能否取得新一筆貸款出現變數,加上美國貿易逆差擴大,拖累大市低開,道指一度下跌逾100點.道瓊斯工業平均指數收市報12801.23點,跌89.23點,跌幅0.69%.標準普爾500指數收市報1342.64點,跌9.31點,跌幅0.69%.納斯達克綜合指數收市報2903.88點,跌23.35點,跌幅0.8%.總結全個星期,道指跌百分之零點五、標普500指數跌百分之零點二,納指則微跌不足百分之零點一.30隻道指成份幾乎全線下跌.跟隨油價下跌的油股是跌市火車頭,埃克森美孚及雪佛龍都跌百分之一.其他資源股亦捱沽,美國鋁業跌超過百分之三,是跌幅最大的道指成份股.金融股亦跌勢顯著,美國銀行股價跌百分之一點三,摩根士丹利下跌超過百分之三,花旗下跌超過百分之二.科技股亦下跌,微軟、英特爾及思科系統股價都微跌少於百分之一.而蘋果股價逆市微升."
1,2012-02-11,Lexington獲逾50買家洽購,"圖：Lexington Hill共104夥,面積757至2962呎  樓市轉勢,新盤提速起動,會德豐（00020）西環新盤Lexington Hill,搶閘做龍年頭炮,昨日低調向代理開放設於卑路乍街的展覽館,並即時接獲超過50名買家主動洽購,反應熱烈,樓書同時於昨日上載網頁,發展商稱最快可於下周開賣.另傳興勝創建（00896）九龍塘書院道8號終破蛋,以4300萬沽出1夥.  會德豐龍年頭炮Lexington Hill,屬同係08年西半山The Babington之後首個全新住宅樓盤,該盤部署開賣多時,趁近日市況回勇,昨日低調向代理開放展覽館.會德豐地産市務部助理總經理何詠儀承認,該盤特別於卑路乍街100號搭建的豪華展覽館,確實向代理開放,強調未有委託代理進行任何收票及推銷等活動.  她又稱,項目樓書同於昨日上載網頁,根據指引,最快可以下周開賣,唯未有具體開賣時間表.  市場消息指,西區擁港島西鐵線及西隧兩大基建,不少買家及投資者早已吼實該盤,大量代理得悉發展商開放展覽館後皆聞風而至,場面熱鬧,不少買家更即時透過代理出價,據悉昨日超過50名買家主動出價洽購,盛傳5樓B室平台單位獲有興趣買家問價,單位面積783呎連967呎平台,出價每呎約1.5萬元,涉資1174萬元.  Lexington Hill總共104夥,面積757至1004呎,另有6夥特色戶,包括2夥複式分別1938及2962呎、1夥相連1951呎及3夥花園平台單位,面積由757至955呎不等,平台592至967呎.  該盤雖屬單幢樓,但設施齊備,計有游泳池、健身室、多用途室、燒烤設施、休閒區及綠化區等；另住宅每呎管理費2.5元,最快2014年9月入夥.  另外,市場消息指,��0101）見市況轉旺解封大角咀浪澄灣,該盤1200夥貨尾準備投入搶客,據傳意向呎價8000元."
1,2012-02-11,白馬戶外媒體賺近2億升28%,"圖左起：投資者關係總監兼公司秘書葉澤暉、首席執行官韓子勁、首席營運官張懷軍、首席財務官張弘強  白馬戶外媒體（00100）昨公佈去年全年業績,營業額按年上升18%至14.86億元,純利按年增加28%至1.88億元,每股盈利35.45港仙,公司首次建議派發末期股息每股5港仙.首席營運官張懷軍昨於記者會上表示,公司目前手頭訂單已經超過去年同期的水平,有信心今年全年保持增長,惟具體增幅不便預測.  張懷軍表示,今年將繼續實現三年購買1萬個公共汽車候車亭廣告牌位的計劃,因此預計今年會再購入3000至4000個.首席財務官張弘強補充,自行興建的話,每個廣告牌位價格約6萬至6.5萬元,收購的話則介乎7萬至10萬元.去年,公司共斥資3.83億元於興趣公共汽車候車亭及收購經營權.  去年,公司的整體平均售價按年上升4%,整體出租率則由61%增至66%.張懷軍稱,希望今年的售價再升8%至10%.另外,他認為出租率仍有進一步上升的空間.目前,公司的網絡覆蓋中國28個城市,未來將會繼續推展新的客戶."
-1,2012-02-11,美消費者信心遜預期 (經濟)  ,"美國消費者信心比預期差.密歇根大學的消費者情緒指數,2月初值為72.5,較預期的74.5差；現況指數跌穿80點；預期指數是68點,都低於市場預期."
-1,2012-02-11,【國際財經】標普宣佈下調埃及主權信用評級至B,"財華社香港新聞中心標普評級週五宣佈,將埃及的主權信用評級從B+下調一級至B,展望負面,稱該國的外部金融風險將進一步弱化國內不穩定的政治環境.標普表示,在外匯儲備急劇下降、匯率壓力和資金外逃面前,外部金融環境對埃及來說變得更加棘手.埃及的外部金融風險已經顯著增長,國外直接投資(FDI)急劇下降,淨資本流動已降為負值.更多精彩內容,請登陸財華中國網 (http://www.caihuanet.com) 或財華香港網 (http://www.finet.hk)"
-1,2012-02-11,國際油價下跌 (經濟)  ,"由於希臘債務協議再生變數,而且國際能源機構再次下調今年全球石油需求增幅預期,國際油價下跌.原油期貨價格下跌.紐約3月期油每桶收市報98.67美元,下跌1.17美元,跌幅1.17%.英國倫敦布蘭特3月期油亦下跌1.28美元,每桶收市報117.31美元,跌幅1.08%.希臘債務協議談判再陷僵局,加上國際能源署再次下調今年石油需求增長預測,都令油價受壓,紐約期油中段一度急跌逾2美元.以全個星期計算,紐約期油升不足1%,布蘭特期油則升近2.4%."
-1,2012-02-11,簡訊/AXA及ACE爭控非壽險,"控（00005）裁員計劃惹各界非議,但仍無阻其削減開支的決定,繼續出售非核心業務.外電引述消息人士報道,法國AXA安盛和美國保險公司ACE安達成為競購控非壽險業務的最後兩位買家.消息指出,有關交易涉資約10億美元（約78億港元）,有關非壽險業務主要集中在亞洲、某些拉丁美洲國家及法國.控、AXA及ACE均拒絕回應.  華潤電力售電量降5.1%  華潤電力（00836）昨日公佈,因受春節效應影響,今年1月份其售電量為923萬兆瓦時,較去年同期的973萬兆瓦時下降5.1%.按同廠同口徑的售電量同比則下降18.3%,其中,江蘇、遼寧、廣東及河南四個省份跌幅較為明顯,僅河北省售電量錄得上升.該股昨日微升0.26%,收報15.26港元.    中國建築上月簽約38億  中國建築（03311）公佈,公司2012年1月累計新簽合約額38.1億港元,相當於完成2012年全年目標的11.5%（不低於330億港元）.截至1月31日,公司在手總合約額約為751.2億港元,其中未完合約額約為509.0億港元,同比增長30.9%,足夠公司未來3年建造.  克莉絲汀首日孖展172萬  台資內地糕點連鎖店克莉絲��1210）昨首日招股,綜合8間證券商,其孖展認購反應未如人意,合共借出172萬元,遠未達足額5550萬元.  必瘦站首日僅升1.1%  必瘦站（01830）昨首日掛牌,以全日最低位0.89元收市,較招股價0.88元上升1.14%,每手4000股,不計手續費,一手賺40元.該股全日最高報1.01元,成交1.41億股,涉及金額1.33億元.  味千預警盈利減30%  味千中國（00538）發盈利預警,預料截至2011年12月底純利按年將大幅減少約20%至30%,主要由於部分媒體於2011年第3季度前後報道集團産品之若干事宜,令收入減少,及就於2011年向集團部分僱員授出購股權所産生之款項確認開支所致.  盛上月銷售額降24%  內房一月銷售繼續吹冷風.盛地産（00845）公佈,2012年1月份實現房地産銷售額4.2億元人民幣（下同）,環比減少24.0%.期內實現房地産銷售面積8.0萬平方米,環比增長35.0%.1月份,上海地區為銷售額最高及銷售面積最多的地區,銷售額為3.3億元,同比增長21.9%,銷售面積達6.3萬平方米,同比增長14.2倍.集團2012年1月份無新購土地.目前,集團總土地儲備為1960萬平方米,可滿足未來5至7年開發所需.  建業上月銷售額減11%  建業地産（00832）今年1月份合約銷售額雖達11.6億元,但同比仍跌11%,銷售面積為12.2019萬平米,同比則升9.8%；同時,因銷售産品組合有別,1月份銷售均價亦見下跌19.1%,至每平米9508元.  公司指出,今年1月份的合同銷售來自位於二線、三線及四線城市的33個項目,99%合同銷售額來自未受限購令影響的項目.  瑞房發債年息9.75厘  瑞安房地産（00272）昨宣佈,發行4億美元（約31.2億港元）優先票據,2015年到期,年息9.75厘.票據發行所得款項淨額,約為3.89億美元.集團擬將所得款項淨額,用作房地産業務之相關資本開支或收購、發展、建設或提升資産、土地財産或非土地財産、或設備提供資金或償還現有債務."
1,2012-02-11,豐園成交呎價3120元,"掃管笏地皮造價不俗,加上樓市小陽春來臨,推動屯門區二手轉活,買家爭相入市.  中原地産屯門置樂分行分區營業經理劉月華表示,屯門豐園1座高層E室,面積593平方呎,新近以185萬元易手,呎價3120元.買家為同區換樓客,新年後見市況好轉而加快入市.原業主於97年8月以176.5萬元購入上址,持貨14年多,轉手帳面獲利8.5萬元,單位約5%.豐園本月錄得3宗成交,平均呎價3318元.  祥益地産分行主管陳阿麗表示,屯門兆禧苑A座低層1室放盤約1個月,獲區內客以143萬承接,建築面積495呎,實用面積363呎,一房一廳（改兩房一廳）,呎價2889元,單位原業主持貨兩年多,轉手帳面獲利達55.2萬."
-1,2012-02-11,【國際財經】希臘警方威脅逮捕“三駕馬車”官員,"財華社香港新聞中心匯通網訊——希臘最大的員警協會週五威脅稱將對歐盟(EU)及國際貨幣基金組織(IMF)官員簽發逮捕令,因上述國際援助方被指向希臘提出過於苛刻的不受歡迎的撙節措施.媒體獲得的一份信件顯示,希臘聯邦警署(Federation of Greek Police)將指控上述官員“涉嫌欺詐,暗地廢除或侵蝕希臘主權民主性”,該信件還透露稱其中一名將可能被逮捕的官員為IMF希臘專員Poul  Thomsen.分析人士指出,希臘警方對三方集團的威脅是希臘國內對“過分嚴苛的”第二輪救助計畫的條件表達不滿情緒的集中體現,這種情緒與歐盟夥伴國對希臘在應對危機方面進展遲滯的憤怒之情形成“針尖對麥芒”之勢.更多精彩內容,請登陸財華中國網 (http://www.caihuanet.com) 或財華香港網 (http://www.finet.hk)"
